Coord_x	Coord_y	Velosity_Ux	Velocity_Uy	Velocity_P	Num_el
-0.8522433776 	 -0.3533968972 	 0.3508229781 	 -0.8460361769 	 0.3280741548 	 214
0.0630261887 	 -0.9653933942 	 0.9626409978 	 0.0628464972 	 0.3700260655 	 215
-0.9822207699 	 -0.0518582964 	 0.0517855901 	 -0.9808436785 	 0.3857045342 	 216
-0.4946372432 	 0.7819107970 	 -0.7764323589 	 -0.4911715800 	 0.3304608590 	 217
0.2793216948 	 0.1450348982 	 -0.0900707385 	 0.1734666045 	 0.0056200920 	 218
0.2539068148 	 0.1568484681 	 -0.0900106922 	 0.1457096038 	 0.0038320230 	 219
-0.4904664971 	 0.8110513820 	 -0.8072280400 	 -0.4881544103 	 0.3513700311 	 220
0.1371258090 	 -0.2196538976 	 0.0923100172 	 0.0576274127 	 0.0010105761 	 221
0.1860566464 	 -0.1775597911 	 0.0731072670 	 0.0766057047 	 0.0009321080 	 222
-0.1093253383 	 0.2298150411 	 -0.0915433186 	 -0.0435480821 	 0.0008190744 	 223
-0.2366825241 	 0.0929960516 	 -0.0369509510 	 -0.0940431794 	 0.0008111528 	 224
0.2490180294 	 -0.0591574392 	 0.0239958778 	 0.1010085341 	 0.0008790780 	 225
-0.2541175994 	 -0.0389019310 	 0.0159966607 	 -0.1044943761 	 0.0009274148 	 226
0.1312962066 	 0.2183209131 	 -0.0872585395 	 0.0524764901 	 0.0008298792 	 227
-0.8880766296 	 -0.2530305297 	 0.2512093515 	 -0.8816847299 	 0.3288115631 	 228
0.6023710277 	 -0.7294767689 	 0.7259104055 	 0.5994260759 	 0.3496989357 	 229
0.3339234831 	 -0.8603300614 	 0.8540869340 	 0.3315003121 	 0.3283030723 	 230
